file,IAT score,raw uncorrected,congruent mean RT,congruent RT sd,congruent error prop,incongruent mean RT,incongruent RT sd,incongruent error prop
0_2014_May_06_1010.csv,-0.357,-0.421,+0.533,+0.111,+0.05,+0.954,+1.195,+0.40
1_2014_May_28_1406.csv,-0.226,+0.001,+0.738,+0.287,+0.05,+0.738,+0.274,+0.15
